"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2018","67.64","70.40","70.62","67.48","23.43M","-2.68%"
"Nov 20, 2018","69.50","68.35","69.96","66.71","40.02M","-1.68%"
"Nov 19, 2018","70.69","71.27","73.35","70.58","48.54M","-0.24%"
"Nov 16, 2018","70.86","69.04","71.14","69.02","36.03M","1.68%"
"Nov 15, 2018","69.69","68.47","69.72","67.81","23.13M","1.29%"
"Nov 14, 2018","68.80","68.54","69.42","67.43","25.20M","1.55%"
"Nov 13, 2018","67.75","66.63","68.94","66.44","27.24M","2.25%"
"Nov 12, 2018","66.26","69.67","69.96","66.07","34.71M","-5.48%"
"Nov 09, 2018","70.10","69.80","70.80","69.05","25.49M","-0.26%"
"Nov 08, 2018","70.28","69.70","71.52","69.69","35.45M","0.93%"
"Nov 07, 2018","69.63","68.67","70.24","68.16","36.87M","2.08%"
"Nov 06, 2018","68.21","67.81","69.76","67.22","33.81M","-0.10%"
"Nov 05, 2018","68.28","68.10","68.79","66.03","39.16M","-1.44%"
"Nov 02, 2018","69.28","68.75","69.84","68.18","39.04M","0.61%"
"Nov 01, 2018","68.86","67.65","69.57","66.94","40.00M","2.08%"
"Oct 31, 2018","67.46","66.51","68.40","65.82","38.12M","2.24%"
"Oct 30, 2018","65.98","65.68","67.58","64.45","45.63M","-1.48%"
"Oct 29, 2018","66.97","67.49","69.43","65.30","72.43M","1.19%"
"Oct 26, 2018","66.18","61.65","67.98","61.33","137.13M","5.10%"
"Oct 25, 2018","62.97","63.44","64.20","60.20","104.20M","9.13%"
"Oct 24, 2018","57.70","60.21","60.89","57.15","100.29M","-1.92%"
"Oct 23, 2018","58.83","52.77","59.59","52.42","95.14M","12.72%"
"Oct 22, 2018","52.19","52.14","52.37","50.52","28.00M","0.37%"
"Oct 19, 2018","52.00","53.48","53.93","50.70","46.88M","-1.48%"
"Oct 18, 2018","52.78","53.86","54.20","52.60","27.11M","-2.91%"
"Oct 17, 2018","54.36","56.48","56.54","53.16","43.28M","-1.74%"
"Oct 16, 2018","55.32","53.14","55.48","52.45","47.63M","6.55%"
"Oct 15, 2018","51.92","51.81","52.66","50.91","31.00M","0.31%"
"Oct 12, 2018","51.76","52.20","52.40","50.40","36.01M","2.60%"
"Oct 11, 2018","50.45","51.51","52.45","49.81","40.84M","-1.81%"
"Oct 10, 2018","51.38","52.92","53.10","49.55","64.08M","-2.25%"
"Oct 09, 2018","52.56","51.05","53.35","50.66","60.30M","4.89%"
"Oct 08, 2018","50.11","52.90","53.55","49.80","67.36M","-4.35%"
"Oct 05, 2018","52.39","54.93","54.98","52.00","89.72M","-7.06%"
"Oct 04, 2018","56.37","58.79","58.80","55.53","49.07M","-4.39%"
"Oct 03, 2018","58.96","60.67","60.92","58.31","39.97M","-2.06%"
"Oct 02, 2018","60.20","62.79","63.37","59.83","58.72M","-3.12%"
"Oct 01, 2018","62.14","61.15","62.29","60.21","108.89M","17.36%"
"Sep 28, 2018","52.95","54.05","55.60","52.11","168.25M","-13.90%"
"Sep 27, 2018","61.50","62.58","62.99","61.38","42.55M","-0.68%"
"Sep 26, 2018","61.92","60.38","62.78","60.22","39.22M","2.86%"
"Sep 25, 2018","60.20","60.00","60.92","59.30","22.41M","0.43%"
"Sep 24, 2018","59.94","59.70","60.60","58.72","24.21M","0.20%"
"Sep 21, 2018","59.82","59.54","60.12","59.07","25.25M","0.25%"
"Sep 20, 2018","59.67","60.71","61.20","58.67","36.75M","-0.22%"
"Sep 19, 2018","59.80","56.10","60.00","56.10","41.47M","4.93%"
"Sep 18, 2018","56.99","59.34","60.53","55.10","82.74M","-3.36%"
"Sep 17, 2018","58.97","58.01","60.17","57.63","34.44M","-0.12%"
"Sep 14, 2018","59.04","57.75","59.47","57.30","33.83M","1.99%"
"Sep 13, 2018","57.89","57.60","59.00","57.04","31.70M","-0.38%"
"Sep 12, 2018","58.11","56.29","58.50","55.73","50.08M","3.97%"
"Sep 11, 2018","55.89","55.89","56.40","54.71","45.85M","-2.12%"
"Sep 10, 2018","57.10","54.65","57.21","54.20","71.42M","8.45%"
"Sep 07, 2018","52.65","52.02","53.67","50.45","112.46M","-6.30%"
"Sep 06, 2018","56.19","56.96","58.23","55.78","37.40M","0.07%"
"Sep 05, 2018","56.15","57.01","57.36","55.44","38.60M","-2.84%"
"Sep 04, 2018","57.79","59.39","59.64","57.60","41.75M","-4.21%"
"Aug 31, 2018","60.33","60.40","61.06","59.72","26.88M","-0.49%"
"Aug 30, 2018","60.63","60.45","60.92","59.54","36.08M","-0.61%"
"Aug 29, 2018","61.00","62.05","62.37","60.74","37.24M","-2.20%"
"Aug 28, 2018","62.37","63.68","63.78","62.24","38.25M","-2.32%"
"Aug 27, 2018","63.85","63.60","64.49","61.76","65.40M","-1.10%"
"Aug 24, 2018","64.56","64.14","64.77","63.88","18.01M","0.84%"
"Aug 23, 2018","64.02","63.83","65.46","63.62","25.74M","-0.48%"
"Aug 22, 2018","64.33","64.17","64.78","62.93","29.73M","-0.08%"
"Aug 21, 2018","64.38","62.12","64.96","61.80","65.86M","4.36%"
"Aug 20, 2018","61.69","58.34","61.70","57.64","87.01M","0.97%"
"Aug 17, 2018","61.10","64.70","65.35","60.71","94.79M","-8.93%"
"Aug 16, 2018","67.09","67.98","68.46","66.76","30.32M","-0.96%"
"Aug 15, 2018","67.74","68.38","68.90","66.43","45.51M","-2.57%"
"Aug 14, 2018","69.53","71.69","71.84","69.42","34.93M","-2.46%"
"Aug 13, 2018","71.28","72.23","72.64","69.80","52.32M","0.25%"
"Aug 10, 2018","71.10","70.80","72.00","69.20","57.76M","0.87%"
"Aug 09, 2018","70.49","73.11","73.40","69.15","85.92M","-4.83%"
"Aug 08, 2018","74.07","73.82","76.53","73.42","122.86M","-2.42%"
"Aug 07, 2018","75.91","68.77","77.49","67.83","154.38M","10.98%"
"Aug 06, 2018","68.40","69.09","71.00","68.36","42.82M","-1.77%"
"Aug 03, 2018","69.63","69.56","71.00","68.51","68.28M","-0.40%"
"Aug 02, 2018","69.91","65.69","70.00","64.63","116.07M","16.19%"
"Aug 01, 2018","60.17","59.60","60.60","58.60","50.65M","0.91%"
"Jul 31, 2018","59.63","58.45","59.66","57.81","25.38M","2.76%"
"Jul 30, 2018","58.03","59.18","59.22","57.23","34.07M","-2.37%"
"Jul 27, 2018","59.44","61.45","61.54","59.07","28.52M","-3.08%"
"Jul 26, 2018","61.33","60.97","62.14","60.73","23.15M","-0.68%"
"Jul 25, 2018","61.75","59.35","61.92","58.90","35.47M","3.80%"
"Jul 24, 2018","59.49","60.88","61.54","58.51","47.95M","-1.90%"
"Jul 23, 2018","60.64","60.37","61.10","58.57","54.96M","-3.32%"
"Jul 20, 2018","62.72","64.25","64.65","62.34","25.83M","-2.08%"
"Jul 19, 2018","64.05","63.27","64.71","62.80","29.58M","-1.11%"
"Jul 18, 2018","64.77","65.00","65.10","63.25","28.12M","0.36%"
"Jul 17, 2018","64.54","61.76","64.95","61.70","34.98M","4.06%"
"Jul 16, 2018","62.02","62.34","63.03","61.25","39.09M","-2.74%"
"Jul 13, 2018","63.77","63.12","63.92","61.85","29.38M","0.68%"
"Jul 12, 2018","63.34","64.29","64.65","62.55","28.61M","-0.71%"
"Jul 11, 2018","63.79","63.16","64.39","63.01","24.42M","-1.09%"
"Jul 10, 2018","64.49","64.91","65.54","63.84","47.36M","1.24%"
"Jul 09, 2018","63.70","62.40","63.70","61.60","37.98M","3.11%"
"Jul 06, 2018","61.78","60.99","62.41","60.40","44.33M","-0.08%"
"Jul 05, 2018","61.83","62.75","62.88","59.24","87.38M","-0.55%"
"Jul 03, 2018","62.17","66.35","66.50","61.94","61.41M","-7.22%"
"Jul 02, 2018","67.01","72.01","72.96","65.97","93.80M","-2.30%"
"Jun 29, 2018","68.59","70.67","70.77","68.48","32.46M","-2.00%"
"Jun 28, 2018","69.99","69.73","71.40","69.22","41.99M","1.58%"
"Jun 27, 2018","68.90","69.00","70.16","67.90","41.67M","0.73%"
"Jun 26, 2018","68.40","67.21","68.71","65.16","37.26M","2.70%"
"Jun 25, 2018","66.60","66.02","67.69","65.50","34.66M","-0.19%"
"Jun 22, 2018","66.73","70.31","70.45","66.40","51.33M","-3.99%"
"Jun 21, 2018","69.50","72.40","73.24","69.25","39.84M","-4.06%"
"Jun 20, 2018","72.44","71.61","72.88","70.40","41.92M","2.74%"
"Jun 19, 2018","70.51","73.03","74.00","69.25","63.81M","-4.93%"
"Jun 18, 2018","74.17","71.08","74.75","70.90","60.37M","3.55%"
"Jun 15, 2018","71.63","70.77","72.93","70.25","54.24M","0.13%"
"Jun 14, 2018","71.54","69.53","71.75","69.32","54.91M","3.74%"
"Jun 13, 2018","68.96","69.34","69.44","67.96","47.35M","0.60%"
"Jun 12, 2018","68.55","68.94","70.99","67.60","111.74M","3.21%"
"Jun 11, 2018","66.42","64.50","66.93","64.50","65.92M","4.55%"
