"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2015","4,559.75","4,478.25","4,565.50","4,455.00","282.19K","1.28%"
"Nov 13, 2015","4,502.00","4,583.75","4,590.50","4,485.75","344.23K","-1.82%"
"Nov 12, 2015","4,585.25","4,631.25","4,653.25","4,581.25","268.16K","-1.00%"
"Nov 11, 2015","4,631.75","4,640.25","4,674.75","4,625.25","221.70K","-0.24%"
"Nov 10, 2015","4,643.00","4,650.00","4,662.25","4,612.50","241.86K","-0.21%"
"Nov 09, 2015","4,652.75","4,701.25","4,712.75","4,622.00","256.94K","-1.07%"
"Nov 06, 2015","4,703.00","4,700.75","4,708.75","4,658.75","276.68K","0.17%"
"Nov 05, 2015","4,695.25","4,708.25","4,727.50","4,673.75","246.17K","-0.30%"
"Nov 04, 2015","4,709.50","4,711.75","4,729.75","4,691.25","231.00K","-0.05%"
"Nov 03, 2015","4,712.00","4,688.25","4,727.50","4,677.00","186.76K","0.38%"
"Nov 02, 2015","4,694.00","4,644.50","4,699.50","4,625.00","162.66K","1.09%"
"Oct 30, 2015","4,643.25","4,666.00","4,690.25","4,636.00","211.24K","-0.40%"
"Oct 29, 2015","4,661.75","4,664.25","4,670.25","4,642.75","184.53K","-0.26%"
"Oct 28, 2015","4,673.75","4,635.25","4,678.25","4,600.50","306.88K","0.90%"
"Oct 27, 2015","4,632.25","4,619.75","4,651.75","4,601.25","217.94K","0.35%"
"Oct 26, 2015","4,616.25","4,614.00","4,630.00","4,592.75","184.13K","0.10%"
"Oct 23, 2015","4,611.50","4,562.25","4,637.50","4,562.00","361.59K","1.29%"
"Oct 22, 2015","4,552.75","4,406.75","4,565.50","4,402.00","348.49K","3.49%"
"Oct 21, 2015","4,399.25","4,422.75","4,456.25","4,394.75","289.77K","-0.58%"
"Oct 20, 2015","4,424.75","4,451.50","4,456.00","4,414.00","200.21K","-0.67%"
"Oct 19, 2015","4,454.50","4,434.50","4,455.50","4,411.00","202.41K","0.45%"
"Oct 16, 2015","4,434.75","4,409.75","4,439.00","4,396.00","207.25K","0.52%"
"Oct 15, 2015","4,411.75","4,335.25","4,412.00","4,332.50","275.99K","1.97%"
"Oct 14, 2015","4,326.50","4,334.25","4,365.25","4,317.50","284.81K","-0.34%"
"Oct 13, 2015","4,341.25","4,377.00","4,390.75","4,338.50","232.73K","-0.77%"
"Oct 12, 2015","4,375.00","4,355.00","4,381.50","4,346.25","132.68K","0.36%"
"Oct 09, 2015","4,359.50","4,338.00","4,369.25","4,324.50","208.83K","0.34%"
"Oct 08, 2015","4,344.75","4,324.00","4,348.25","4,265.00","317.02K","0.49%"
"Oct 07, 2015","4,323.75","4,275.00","4,333.75","4,268.00","329.99K","0.78%"
"Oct 06, 2015","4,290.25","4,307.75","4,322.00","4,263.50","264.37K","-0.49%"
"Oct 05, 2015","4,311.25","4,257.75","4,329.75","4,250.50","242.31K","1.17%"
"Oct 02, 2015","4,261.25","4,188.25","4,263.75","4,111.50","404.89K","1.76%"
"Oct 01, 2015","4,187.50","4,154.00","4,225.75","4,116.25","367.79K","0.59%"
"Sep 30, 2015","4,163.00","4,078.75","4,169.00","4,066.00","347.07K","2.17%"
"Sep 29, 2015","4,074.75","4,106.25","4,144.25","4,040.75","427.26K","-0.49%"
"Sep 28, 2015","4,094.75","4,202.50","4,239.00","4,079.50","360.68K","-2.82%"
"Sep 25, 2015","4,213.50","4,232.00","4,315.75","4,185.50","344.91K","-0.77%"
"Sep 24, 2015","4,246.00","4,268.50","4,278.75","4,185.25","355.07K","-0.39%"
"Sep 23, 2015","4,262.75","4,264.25","4,292.75","4,221.50","238.55K","-0.11%"
"Sep 22, 2015","4,267.25","4,342.00","4,345.00","4,220.50","320.03K","-1.70%"
"Sep 21, 2015","4,341.25","4,324.75","4,361.50","4,286.50","254.50K","0.23%"
"Sep 18, 2015","4,331.15","4,381.50","4,392.75","4,313.00","3.67K","-1.12%"
"Sep 17, 2015","4,380.25","4,385.75","4,451.50","4,368.00","46.68K","-0.26%"
"Sep 16, 2015","4,391.50","4,362.50","4,393.00","4,345.50","62.01K","0.70%"
"Sep 15, 2015","4,361.00","4,311.50","4,373.50","4,290.75","83.37K","1.18%"
"Sep 14, 2015","4,310.00","4,325.25","4,357.00","4,292.25","87.55K","-0.35%"
"Sep 11, 2015","4,325.25","4,294.75","4,330.00","4,259.50","127.47K","0.70%"
"Sep 10, 2015","4,295.00","4,259.00","4,327.25","4,226.50","410.49K","0.94%"
"Sep 09, 2015","4,255.00","4,300.50","4,369.50","4,240.25","354.13K","-1.01%"
"Sep 08, 2015","4,298.50","4,181.75","4,305.50","4,180.00","293.91K","1.67%"
"Sep 07, 2015","4,227.70","4,209.00","4,243.00","4,196.38","-","0.45%"
"Sep 06, 2015","4,208.90","4,181.25","4,213.70","4,181.20","-","0.36%"
"Sep 04, 2015","4,194.00","4,231.75","4,237.50","4,155.00","354.12K","-0.84%"
"Sep 03, 2015","4,229.50","4,260.25","4,304.25","4,219.75","332.57K","-0.72%"
"Sep 02, 2015","4,260.00","4,150.75","4,263.75","4,136.00","340.63K","2.45%"
"Sep 01, 2015","4,158.25","4,266.00","4,268.00","4,118.25","481.01K","-2.66%"
"Aug 31, 2015","4,271.75","4,324.00","4,330.25","4,258.50","303.20K","-1.41%"
"Aug 28, 2015","4,333.00","4,327.00","4,340.75","4,281.75","322.07K","0.12%"
"Aug 27, 2015","4,328.00","4,222.75","4,332.75","4,205.25","475.38K","2.69%"
"Aug 26, 2015","4,214.50","4,036.75","4,229.50","3,958.75","637.93K","4.62%"
"Aug 25, 2015","4,028.50","3,998.00","4,204.25","3,997.75","630.06K","0.63%"
"Aug 24, 2015","4,003.25","4,183.75","4,196.25","3,908.25","746.53K","-4.70%"
"Aug 21, 2015","4,200.75","4,367.75","4,368.25","4,189.00","614.57K","-3.79%"
"Aug 20, 2015","4,366.25","4,502.25","4,513.00","4,360.00","449.73K","-3.05%"
"Aug 19, 2015","4,503.75","4,543.00","4,552.25","4,483.25","331.47K","-0.89%"
"Aug 18, 2015","4,544.00","4,562.50","4,573.50","4,533.75","164.76K","-0.45%"
"Aug 17, 2015","4,564.75","4,532.50","4,567.75","4,503.25","191.98K","0.73%"
"Aug 14, 2015","4,531.75","4,514.50","4,534.00","4,499.00","167.71K","0.32%"
"Aug 13, 2015","4,517.25","4,529.75","4,557.00","4,508.75","234.83K","-0.36%"
"Aug 12, 2015","4,533.50","4,512.75","4,535.50","4,431.25","358.45K","0.50%"
"Aug 11, 2015","4,510.75","4,582.50","4,584.75","4,485.50","301.82K","-1.21%"
"Aug 10, 2015","4,566.00","4,514.00","4,580.00","4,512.75","199.35K","1.04%"
"Aug 07, 2015","4,519.00","4,527.25","4,533.75","4,480.50","249.23K","-0.13%"
"Aug 06, 2015","4,524.75","4,591.75","4,608.75","4,502.75","272.06K","-1.50%"
"Aug 05, 2015","4,593.50","4,551.50","4,629.00","4,551.00","247.80K","0.92%"
"Aug 04, 2015","4,551.75","4,570.50","4,581.25","4,543.50","253.01K","-0.46%"
